country,tahun,provinsi,kota_kabupaten,stunting,life_expectancy,hdi,level
Indonesia,2015,Kepulauan Bangka Belitung,,,69.88,69.05,provinsi
Indonesia,2016,Kepulauan Bangka Belitung,,,69.92,69.55,provinsi
Indonesia,2017,Kepulauan Bangka Belitung,,,69.95,69.99,provinsi
Indonesia,2018,Kepulauan Bangka Belitung,,,70.18,70.67,provinsi
Indonesia,2019,Kepulauan Bangka Belitung,,"19,93",70.5,71.3,provinsi
Indonesia,2020,Kepulauan Bangka Belitung,,"20,94",70.64,71.47,provinsi
Indonesia,2021,Kepulauan Bangka Belitung,,"18,6",70.73,71.69,provinsi
Indonesia,2022,Kepulauan Bangka Belitung,,"18,5",70.98,72.24,provinsi
Indonesia,2023,Kepulauan Bangka Belitung,,"20,6",71.23,72.85,provinsi
Indonesia,2024,Kepulauan Bangka Belitung,,"20,1",71.49,73.33,provinsi
Indonesia,2013,Kepulauan Riau,,,69.05,73.02,provinsi
Indonesia,2014,Kepulauan Riau,,,69.15,73.4,provinsi
Indonesia,2015,Kepulauan Riau,,,69.41,73.75,provinsi
Indonesia,2016,Kepulauan Riau,,,69.45,73.99,provinsi
Indonesia,2017,Kepulauan Riau,,,69.48,74.45,provinsi
Indonesia,2018,Kepulauan Riau,,,69.64,74.84,provinsi
Indonesia,2019,Kepulauan Riau,,"16,82",69.8,75.48,provinsi
Indonesia,2020,Kepulauan Riau,,"13,72",69.96,75.59,provinsi
Indonesia,2021,Kepulauan Riau,,"17,6",70.12,75.79,provinsi
Indonesia,2022,Kepulauan Riau,,"15,4",70.5,76.46,provinsi
Indonesia,2023,Kepulauan Riau,,"16,8",70.91,77.11,provinsi
Indonesia,2024,Kepulauan Riau,,15,71.24,77.97,provinsi
Indonesia,2013,Lampung,,,69.55,65.73,provinsi
Indonesia,2014,Lampung,,,69.66,66.42,provinsi
Indonesia,2015,Lampung,,,69.9,66.95,provinsi
Indonesia,2016,Lampung,,,69.94,67.65,provinsi
Indonesia,2017,Lampung,,,69.95,68.25,provinsi
Indonesia,2018,Lampung,,,70.18,69.02,provinsi
Indonesia,2019,Lampung,,"26,26",70.51,69.57,provinsi
Indonesia,2020,Lampung,,"24,4",70.65,69.69,provinsi
Indonesia,2021,Lampung,,"18,5",70.73,69.9,provinsi
Indonesia,2022,Lampung,,"15,2",70.99,70.45,provinsi
Indonesia,2023,Lampung,,"14,9",71.25,71.15,provinsi
Indonesia,2024,Lampung,,"15,9",71.5,71.81,provinsi
Indonesia,2013,Maluku,,,64.93,66.09,provinsi
Indonesia,2014,Maluku,,,65.01,66.74,provinsi
Indonesia,2015,Maluku,,,65.31,67.05,provinsi
Indonesia,2016,Maluku,,,65.35,67.6,provinsi
Indonesia,2017,Maluku,,,65.4,68.19,provinsi
Indonesia,2018,Maluku,,,65.59,68.87,provinsi
Indonesia,2019,Maluku,,"30,38",65.82,69.45,provinsi
Indonesia,2020,Maluku,,"27,94",65.98,69.49,provinsi
Indonesia,2021,Maluku,,"28,7",66.09,69.71,provinsi
Indonesia,2022,Maluku,,"26,1",66.45,70.22,provinsi
Indonesia,2023,Maluku,,"28,4",66.78,70.94,provinsi
Indonesia,2024,Maluku,,"28,4",66.99,71.57,provinsi
