Kota/Kabupaten,Tahun,Life Expectancy at Birth (Year),Provinsi
Tangerang,2017,69.47,Banten
Tangerang,2018,69.61,Banten
Tangerang,2019,69.79,Banten
Tangerang,2020,69.89,Banten
Tangerang,2021,69.93,Banten
Tangerang,2022,70.28,Banten
Tangerang,2023,70.65,Banten
Tangerang,2024,70.88,Banten
Bengkulu Selatan,2013,67.05,Bengkulu
Bengkulu Selatan,2014,67.06,Bengkulu
Bengkulu Selatan,2015,67.16,Bengkulu
Bengkulu Selatan,2016,67.2,Bengkulu
Bengkulu Selatan,2017,67.24,Bengkulu
Bengkulu Selatan,2018,67.45,Bengkulu
Bengkulu Selatan,2019,67.79,Bengkulu
Bengkulu Selatan,2020,67.9,Bengkulu
Bengkulu Selatan,2021,67.93,Bengkulu
Bengkulu Selatan,2022,68.15,Bengkulu
Bengkulu Selatan,2023,68.4,Bengkulu
Bengkulu Selatan,2024,68.53,Bengkulu
Bengkulu Tengah,2013,67.61,Bengkulu
Bengkulu Tengah,2014,67.61,Bengkulu
Bengkulu Tengah,2015,67.61,Bengkulu
Bengkulu Tengah,2016,67.63,Bengkulu
Bengkulu Tengah,2017,67.64,Bengkulu
Bengkulu Tengah,2018,67.82,Bengkulu
Bengkulu Tengah,2019,68.12,Bengkulu
Bengkulu Tengah,2020,68.19,Bengkulu
Bengkulu Tengah,2021,68.19,Bengkulu
Bengkulu Tengah,2022,68.37,Bengkulu
Bengkulu Tengah,2023,68.52,Bengkulu
Bengkulu Tengah,2024,68.64,Bengkulu
Bengkulu Utara,2013,67.37,Bengkulu
Bengkulu Utara,2014,67.38,Bengkulu
Bengkulu Utara,2015,67.38,Bengkulu
Bengkulu Utara,2016,67.4,Bengkulu
Bengkulu Utara,2017,67.42,Bengkulu
Bengkulu Utara,2018,67.67,Bengkulu
Bengkulu Utara,2019,68.04,Bengkulu
Bengkulu Utara,2020,68.19,Bengkulu
Bengkulu Utara,2021,68.27,Bengkulu
Bengkulu Utara,2022,68.53,Bengkulu
Bengkulu Utara,2023,68.77,Bengkulu
Bengkulu Utara,2024,68.99,Bengkulu
Kaur,2013,65.45,Bengkulu
Kaur,2014,65.46,Bengkulu
Kaur,2015,65.76,Bengkulu
Kaur,2016,65.84,Bengkulu
Kaur,2017,65.92,Bengkulu
Kaur,2018,66.15,Bengkulu
Kaur,2019,66.5,Bengkulu
Kaur,2020,66.63,Bengkulu
Kaur,2021,66.73,Bengkulu
Kaur,2022,67.01,Bengkulu
Kaur,2023,67.27,Bengkulu
Kaur,2024,67.51,Bengkulu
Kepahiang,2013,66.63,Bengkulu
Kepahiang,2014,66.65,Bengkulu
Kepahiang,2015,66.95,Bengkulu
Kepahiang,2016,67.03,Bengkulu
Kepahiang,2017,67.12,Bengkulu
Kepahiang,2018,67.39,Bengkulu
Kepahiang,2019,67.78,Bengkulu
Kepahiang,2020,67.95,Bengkulu
Kepahiang,2021,68.08,Bengkulu
Kepahiang,2022,68.28,Bengkulu
Kepahiang,2023,68.46,Bengkulu
Kepahiang,2024,68.61,Bengkulu
Kota Bengkulu,2013,69.44,Bengkulu
Kota Bengkulu,2014,69.46,Bengkulu
Kota Bengkulu,2015,69.46,Bengkulu
Kota Bengkulu,2016,69.49,Bengkulu
Kota Bengkulu,2017,69.52,Bengkulu
Kota Bengkulu,2018,69.72,Bengkulu
Kota Bengkulu,2019,70.04,Bengkulu
Kota Bengkulu,2020,70.13,Bengkulu
Kota Bengkulu,2021,70.2,Bengkulu
Kota Bengkulu,2022,70.46,Bengkulu
Kota Bengkulu,2023,70.74,Bengkulu
Kota Bengkulu,2024,71.03,Bengkulu
Lebong,2013,62.01,Bengkulu
Lebong,2014,62.01,Bengkulu
Lebong,2015,62.31,Bengkulu
Lebong,2016,62.39,Bengkulu
Lebong,2017,62.46,Bengkulu
Lebong,2018,62.73,Bengkulu
Lebong,2019,63.12,Bengkulu
Lebong,2020,63.29,Bengkulu
Lebong,2021,63.4,Bengkulu
Lebong,2022,63.68,Bengkulu
Lebong,2023,63.93,Bengkulu
Lebong,2024,64.13,Bengkulu
Muko Muko,2013,65.8,Bengkulu
Muko Muko,2014,65.83,Bengkulu
Muko Muko,2015,65.83,Bengkulu
Muko Muko,2016,65.88,Bengkulu
Muko Muko,2017,65.93,Bengkulu
Muko Muko,2018,66.16,Bengkulu
Muko Muko,2019,66.51,Bengkulu
Muko Muko,2020,66.64,Bengkulu
